,cell_name,total_mass,chr1_mass,cell_type
2713,arc_pair_485635,63.016791999999995,20.076124,Monocytes
2716,arc_pair_693086,32.435873,8.90072,NK cells
2721,arc_pair_44877,24.847114,6.896979,Dendritic cells
2727,arc_pair_537767,25.058811,6.563561999999999,Monocytes
2734,arc_pair_259755,56.060327,16.530127999999998,Monocytes
2736,arc_pair_159700,23.362080999999996,7.213321,Monocytes
2738,arc_pair_3191,68.04629,21.427524,Monocytes
2743,arc_pair_339365,22.736013999999997,5.143489000000001,Monocytes
2751,arc_pair_195342,29.393293000000003,9.381284,Monocytes
2753,arc_pair_539515,25.298316,7.92551,Monocytes
2772,arc_pair_335080,37.054489000000004,11.118958,CD4+ T cells
2773,arc_pair_705608,28.011913,8.119331,CD4+ T cells
2789,arc_pair_606038,26.909463000000002,7.7500409999999995,Monocytes
2794,arc_pair_659880,63.666054,17.320773,T cells
2797,arc_pair_357491,38.33868,10.689326000000001,Monocytes
2802,arc_pair_599671,253.947295,59.961022,T cells
2816,arc_pair_325038,26.768002,8.023181000000001,Dendritic cells
2831,arc_pair_702460,46.198789,14.344603,Monocytes
2835,arc_pair_75107,52.027384,17.483538,Monocytes
2852,arc_pair_309287,32.392445,10.204222,Monocytes
2863,arc_pair_499856,244.251977,73.92282800000001,Monocytes
2880,arc_pair_51858,53.310284,14.785917000000001,Monocytes
2891,arc_pair_438861,193.633466,55.649736,B cells
2893,arc_pair_424842,64.798192,18.882669,CD4+ T cells
2898,arc_pair_693403,366.17899600000004,119.01353200000001,T cells
2902,arc_pair_513150,26.420728,7.871544,Monocytes
2943,arc_pair_28886,33.583413,10.200922000000002,Monocytes
2947,arc_pair_380631,49.612274,15.064001999999999,CD8+ T cells
2964,arc_pair_560583,31.461154,8.865562,NK cells
2966,arc_pair_127236,46.600531,17.139663,T cells
2972,arc_pair_194544,123.31539,43.143281,NK cells
2982,arc_pair_529502,25.465526,6.751906,Monocytes
2984,arc_pair_163485,48.286491,12.618737,T cells
3011,arc_pair_713548,26.956251,9.187995,Dendritic cells
3021,arc_pair_653872,41.690953,11.990054,Monocytes
3024,arc_pair_142858,402.248246,113.17417400000001,CD4+ T cells
3032,arc_pair_684406,24.600635,5.850066,Monocytes
3034,arc_pair_15707,39.162329,10.820351,Dendritic cells
3048,arc_pair_387008,24.913663,7.310182999999999,Dendritic cells
3053,arc_pair_253877,44.213154,12.416117,T cells
3074,arc_pair_662694,29.485248,8.412993,T cells
3077,arc_pair_418306,22.461278999999998,5.722081,NK cells
3078,arc_pair_501245,41.220496,10.766151,NK cells
3086,arc_pair_216641,54.823046000000005,16.721291,Monocytes
3093,arc_pair_39111,31.409266999999996,11.2269,Monocytes
3095,arc_pair_557833,139.81614199999999,34.743037,T cells
3096,arc_pair_600544,23.426496,6.654276,Monocytes
3097,arc_pair_722307,67.57298800000001,22.397553000000002,Monocytes
3105,arc_pair_576102,40.91157,11.441234000000001,NK cells
3109,arc_pair_305175,31.721964,9.944212,Monocytes
3113,arc_pair_664490,78.238493,21.082020999999997,Monocytes
3119,arc_pair_708129,44.650781,15.463996999999999,CD4+ T cells
3121,arc_pair_690238,34.437349999999995,11.084404,Monocytes
3129,arc_pair_14946,72.605059,18.768495,NK cells
3132,arc_pair_521935,37.07466,9.162954,NK cells
3136,arc_pair_624148,27.278853,9.032630999999999,Monocytes
3140,arc_pair_166500,24.438824,6.7621649999999995,Monocytes
3144,arc_pair_316866,23.092544,6.262129,Monocytes
3147,arc_pair_193556,26.29065,7.202577,Dendritic cells
3149,arc_pair_334444,50.492005,16.383347999999998,Monocytes
3153,arc_pair_66403,174.804883,47.971429,CD4+ T cells
3155,arc_pair_536065,28.755671,7.958796,Monocytes
