,cell_name,total_mass_4mb_85,total_mass_1mb_95,total_mass_1mb_98,cell_line
347,cell224_HAP1_,90.2614083785803,827.9282647018483,343.9923273657289,HAP1
348,cell213_HAP1_,118.31424655781953,992.624051165825,370.53064417174926,HAP1
349,cell316_HAP1_,101.28181169025956,874.1441449053416,354.9135341800227,HAP1
350,cell474_HAP1_,79.42371179439377,761.8438287538997,329.75420063293785,HAP1
351,cell443_HAP1_,45.18865240896344,595.7607000476664,307.067071109763,HAP1
352,cell78_HAP1_,98.89767494876554,869.5968725843918,350.8171118038424,HAP1
353,cell235_HAP1_,90.54074847039863,846.8094304076822,359.9436899161382,HAP1
354,cell508_GM12878_,83.48930661450481,869.7856166115787,365.8060252663986,GM12878
355,cell185_HeLa_,96.32845522989082,891.0330614769881,355.5311361785667,HeLa
356,cell604_GM12878_,88.27074277211702,747.1057286039231,323.28786444538645,GM12878
357,cell343_HAP1_,70.1033722653481,830.2444250327192,351.15351714361543,HAP1
358,cell421_HAP1_,74.36408922720761,815.9262507600838,341.2038819167624,HAP1
359,cell96_HeLa_,89.22187076203184,877.2938452137411,354.6794707617099,HeLa
360,cell69_HeLa_,88.94612492806542,828.0003273976711,353.2044581223916,HeLa
361,cell574_K562_,103.11967138269415,839.1816578483244,348.09632469994517,K562
362,cell543_K562_,118.9894948872855,933.3893241456436,360.72551496818437,K562
363,cell452_HeLa_,83.47324689856656,828.2625214381162,350.66744983743854,HeLa
364,cell330_HeLa_,96.57255288702953,859.8535177358649,349.88606783153557,HeLa
365,cell307_HeLa_,90.93507734464563,876.2140414206142,364.3134826480615,HeLa
366,cell465_HeLa_,51.137054433771624,631.8480832121916,321.97236298218877,HeLa
367,cell246_HeLa_,99.6859131108817,874.7829720110523,356.55119331667254,HeLa
368,cell521_K562_,69.75952346134285,843.2956618373111,356.96112661260446,K562
369,cell194_HAP1_,73.86891080835292,791.8651981565757,341.948716543714,HAP1
370,cell365_HeLa_,69.3592661726054,760.6459711211364,330.17259427970737,HeLa
371,cell292_HeLa_,88.05825283854304,853.8495714201842,354.04859474465536,HeLa
372,cell53_HAP1_,77.34433834995667,868.4113375176253,366.52645507747144,HAP1
373,cell600_GM12878_,75.76376456742868,816.0511219467892,348.5269522668831,GM12878
374,cell468_HAP1_,92.96795611039347,872.6230516380127,355.39527066871096,HAP1
375,cell177_HAP1_,103.96467381247403,855.5146379499841,354.31838623489784,HAP1
376,cell597_K562_,85.06171648074672,812.7930735746668,340.90025777442344,K562
377,cell617_GM12878_,107.09900233270041,823.2168786249663,336.0586591755954,GM12878
378,cell115_HAP1_,66.06907782743124,811.9536257736061,350.83086657754836,HAP1
379,cell3_HeLa_,107.45953991713988,885.3001915500008,354.39916678777314,HeLa
380,cell397_HAP1_,80.51032740855067,776.3119139354517,331.8162171628722,HAP1
381,cell75_HeLa_,90.40561236229551,894.4288173475262,366.1100870311212,HeLa
382,cell568_K562_,93.54234122348777,907.0831501856426,363.6044214007226,K562
383,cell238_HeLa_,89.8733823967282,823.2304927596028,353.76085887672133,HeLa
384,cell104_HeLa_,98.48212253936985,908.0156128347841,364.15481314745443,HeLa
385,cell379_HeLa_,100.21927710896803,855.9768772769158,347.4899039815889,HeLa
386,cell133_HeLa_,85.64168172918224,865.0789470946022,362.3828528288624,HeLa
387,cell20_HeLa_,103.32991352097093,818.275890842755,342.0796968266857,HeLa
388,cell17_HeLa_,83.553003723974,862.4919831729758,361.7206905477411,HeLa
389,cell618_K562_,73.47216107832585,788.1796722583994,339.1522307028956,K562
390,cell335_HeLa_,108.33176083792264,903.6164942020339,369.1902791206933,HeLa
391,cell221_HeLa_,104.63725528583589,882.2980861819269,360.5202494548415,HeLa
392,cell360_HeLa_,67.66311507667072,673.8186461762018,318.57805167784363,HeLa
393,cell191_HAP1_,62.57589391449739,780.8756415077816,338.74149696310906,HAP1
394,cell82_HAP1_,94.92134581607574,876.5204092780106,359.4869923237822,HAP1
395,cell243_HeLa_,92.45247484729848,839.2265952668452,349.5015759682823,HeLa
396,cell513_K562_,119.66345992846452,928.0570454656714,361.20018538738725,K562
397,cell230_HAP1_,73.93854943419257,812.6138696002761,347.2946586356431,HAP1
398,cell446_HAP1_,80.98691028943715,808.8122203324141,342.84782880259837,HAP1
399,cell471_HAP1_,82.97768142706235,870.5735171450938,360.42707542500386,HAP1
400,cell93_HeLa_,106.93807207718447,917.5620776684091,363.1535940658805,HeLa
401,cell265_HAP1_,90.00115711327112,894.7602741491878,361.90519144758485,HAP1
402,cell413_HAP1_,47.232946225578544,680.2961708995222,330.4533316517014,HAP1
403,cell70_HeLa_,84.0323941799758,865.690057261223,362.02370567017056,HeLa
404,cell286_HAP1_,94.18770146053647,868.2103828377549,360.24321551655044,HAP1
