,cell_name,cell_type,total_mass
613,arc_pair_58811,B cells,10.962721503623817
614,arc_pair_58824,CD4+ T cells,14.84650160174845
615,arc_pair_58825,CD4+ T cells,12.055270383192074
616,arc_pair_58938,NK cells,13.056995205313331
617,arc_pair_59077,NK cells,21.817151031870083
618,arc_pair_59088,NK cells,7.53064116823939
619,arc_pair_59106,CD4+ T cells,21.960914572717584
620,arc_pair_59157,Monocytes,28.089887775599312
621,arc_pair_59221,T cells,17.248371406236426
622,arc_pair_59230,Monocytes,54.76954771943273
623,arc_pair_59243,NK cells,9.356926771457085
624,arc_pair_59277,CD8+ T cells,11.998736824667125
625,arc_pair_59357,T cells,5.2821964950968106
626,arc_pair_59369,Monocytes,19.265069437934407
627,arc_pair_59434,NK cells,23.79614808153477
628,arc_pair_59574,T cells,16.00933588761175
629,arc_pair_59630,T cells,9.62504956747786
630,arc_pair_59706,Monocytes,17.690149506655366
631,arc_pair_59906,Dendritic cells,22.2245708295112
632,arc_pair_59921,NK cells,114.09486801281726
633,arc_pair_59944,Monocytes,29.552218106787087
634,arc_pair_60052,CD4+ T cells,9.480831337218309
635,arc_pair_60169,CD4+ T cells,13.919282739002336
636,arc_pair_60198,CD4+ T cells,12.611695137976346
637,arc_pair_60208,CD8+ T cells,12.592652755216792
638,arc_pair_60273,Monocytes,29.297641503766627
639,arc_pair_60338,Monocytes,18.589050210298694
640,arc_pair_60422,Monocytes,21.481587386424373
641,arc_pair_60493,T cells,9.61837075085979
642,arc_pair_60522,B cells,19.39621938931967
643,arc_pair_60565,Monocytes,13.23513166978992
644,arc_pair_60665,CD4+ T cells,15.6025724308172
645,arc_pair_60793,T cells,13.99771972770866
646,arc_pair_61022,B cells,15.57244281730621
647,arc_pair_61105,NK cells,10.9435930722224
648,arc_pair_61346,Monocytes,19.10282374159342
649,arc_pair_61349,B cells,8.759303023722232
650,arc_pair_61378,CD8+ T cells,5.4322772963604855
651,arc_pair_61430,CD4+ T cells,13.676432227982655
652,arc_pair_61455,CD4+ T cells,14.43681822949444
653,arc_pair_61659,CD4+ T cells,12.014668632565876
654,arc_pair_61725,NK cells,18.52984294299686
655,arc_pair_62184,CD4+ T cells,9.75660120687851
656,arc_pair_62191,CD4+ T cells,10.844585213467546
657,arc_pair_62205,NK cells,13.626430226341116
658,arc_pair_62376,CD4+ T cells,14.61068291808568
659,arc_pair_62552,NK cells,10.985299204427534
660,arc_pair_62795,T cells,7.742870570140774
661,arc_pair_62822,B cells,21.387597836269677
662,arc_pair_62837,CD4+ T cells,12.99793545582962
663,arc_pair_63029,CD4+ T cells,12.150628468821418
664,arc_pair_63053,Dendritic cells,24.01717650697111
665,arc_pair_63269,Monocytes,18.045493716337525
666,arc_pair_63404,CD4+ T cells,7.998440465506333
667,arc_pair_63478,B cells,9.533682735318395
668,arc_pair_63482,NK cells,18.86809063710825
669,arc_pair_63655,NK cells,16.34768104443162
670,arc_pair_63666,T cells,9.629148369447844
671,arc_pair_64273,Monocytes,30.936464088397795
672,arc_pair_64306,NK cells,27.144137822394704
673,arc_pair_64367,CD8+ T cells,11.633035279649508
674,arc_pair_64470,CD4+ T cells,7.499528037319252
675,arc_pair_64591,Monocytes,29.44470588235294
676,arc_pair_64622,CD8+ T cells,11.423795144341105
677,arc_pair_64626,T cells,8.751681927476744
678,arc_pair_64676,Monocytes,15.065788580351686
679,arc_pair_64753,T cells,14.307849117913031
680,arc_pair_64791,NK cells,10.527378140433756
681,arc_pair_65008,Monocytes,13.014917233978924
682,arc_pair_65061,CD4+ T cells,9.626857028046
683,arc_pair_65166,CD4+ T cells,12.36052677838978
684,arc_pair_65271,CD4+ T cells,11.159775550858413
685,arc_pair_65331,T cells,27.88290705640557
686,arc_pair_65384,CD8+ T cells,8.284286490730116
687,arc_pair_65415,B cells,21.009333635026582
688,arc_pair_65568,B cells,16.272146304983345
689,arc_pair_65919,CD4+ T cells,14.177244297277408
690,arc_pair_66065,Monocytes,45.45155181969333
691,arc_pair_66147,B cells,13.223040772259624
692,arc_pair_66181,CD4+ T cells,7.419742670322718
693,arc_pair_66228,CD4+ T cells,25.464811234472137
694,arc_pair_66403,CD4+ T cells,128.04210756313012
695,arc_pair_66447,T cells,9.990718588764304
